station,start_count,end_count,total_count
"Christian Street, Whitechapel",104202,88928,193130
"Dock Street, Wapping",88890,103828,192718
"Roscoe Street, St. Luke's",95420,96935,192355
"Gunmakers Lane, Old Ford",96049,96105,192154
"Commercial Street, Shoreditch",94560,97506,192066
"Kennington Oval, Oval",95607,96390,191997
"Westbourne Grove, Bayswater",98544,93435,191979
"Kingsway Southbound, Strand",91122,100606,191728
"Knightsbridge, Hyde Park",110194,81400,191594
"Blackfriars Road, Southwark",94985,96275,191260
"St. Luke's Church, Chelsea",95091,95454,190545
"Fisherman's Walk West, Canary Wharf",91935,98458,190393
"Wandsworth Town Station, Wandsworth",92480,97862,190342
"Gloucester Avenue, Camden Town",98654,91205,189859
"Pont Street, Knightsbridge",92367,97467,189834
"Maplin Street, Mile End",50478,138857,189335
"East Village, Queen Elizabeth Olympic Park",94645,94543,189188
"Windsor Terrace, Hoxton",102470,85734,188204
"Doddington Grove, Kennington",95668,92254,187922
"Warwick Road, Olympia",94383,93396,187779
"Southwick Street, Paddington",97779,89830,187609
"Pindar Street, Liverpool Street",52186,135274,187460
"Great Dover Street, The Borough",94562,92817,187379
"Globe Town Market, Bethnal Green",96041,91085,187126
"Bow Church Station, Bow",95093,91904,186997
"Barbican Centre, Barbican",92021,94771,186792
"Ebury Bridge, Pimlico",97250,89482,186732
"Prince of Wales Drive, Battersea Park",94767,91929,186696
"Austin Road, Battersea Park",94128,92365,186493
"Black Prince Road, Vauxhall",94940,91372,186312
"St. George Street, Mayfair",85428,100203,185631
"Warwick Square, Pimlico",99147,86150,185297
"Torrens Street, Angel",95343,89787,185130
"Paddington Street, Marylebone",93395,91698,185093
"Hampton Street, Walworth",94301,90472,184773
"Grant Road East, Clapham Junction",89354,95098,184452
"Blenheim Crescent, Ladbroke Grove",92223,92037,184260
"Union Street, The Borough",92407,91610,184017
"Timber Lodge, Queen Elizabeth Olympic Park",92340,91343,183683
"Albany Street, The Regent's Park",98322,84993,183315
"World's End Place, West Chelsea",92160,91011,183171
"Farringdon Lane, Clerkenwell",90538,91736,182274
"Hartington Road, Stockwell",92218,90049,182267
"Manresa Road, Chelsea",90615,91574,182189
"Clifton Road, Maida Vale",94193,87983,182176
"Ravenscourt Park Station, Hammersmith",88652,93166,181818
"Long Lane , Bermondsey",92015,89383,181398
"Lee Valley VeloPark, Queen Elizabeth Olympic Park",91672,89634,181306
"Baker Street, Marylebone",91702,89562,181264
"Monier Road, Hackney Wick",90431,90643,181074
"Reardon Street, Wapping",92054,87736,179790
"Vereker Road, West Kensington",81563,98109,179672
"Furze Green, Bow",91030,88349,179379
"Euston Road, Euston",92108,86994,179102
"Danvers Street, West Chelsea",90252,88778,179030
"Battersea Park Road, Nine Elms",92595,86371,178966
"Hereford Road, Bayswater",94031,84834,178865
"Old Ford Road, Bethnal Green",92257,86507,178764
"Sandilands Road, Walham Green",89972,88442,178414
"Swan Street, The Borough",90298,87923,178221
"Lollard Street, Vauxhall",93920,84178,178098
"Lavington Street, Bankside",86573,89897,176470
"Greyhound Road, Hammersmith",89646,86588,176234
"St. Martin's Street, West End",83366,92530,175896
"Sardinia Street, Holborn",86137,89675,175812
"Wellington Row, Bethnal Green",91946,83394,175340
"Riverlight South, Nine Elms",89078,86161,175239
"Houndsditch, Aldgate",85273,89756,175029
"Bethnal Green Garden, Bethnal Green",87377,86851,174228
"Bury Place, Holborn",85711,88422,174133
"Finlay Street, Fulham",87974,85901,173875
"Kennington Road  , Vauxhall",90954,82081,173035
"Albert Gardens, Stepney",90034,82885,172919
